	bin	L_score	pvals	qvals	norm_pvals	norm_qvals
ANXA2_14	mean_1_var_1	0.03038906359895114	0.000999000999000999	0.018981018981018984	0.04174198278494413	0.2152272495268309
ANXA2_18	mean_1_var_1	0.03322576705834076	0.000999000999000999	0.018981018981018984	0.032465509472785946	0.1863605847829991
COPS8_3	mean_1_var_1	0.009722179499587287	0.15884115884115885	0.4379973902836726	0.18576380375019969	0.5280773613498835
ERI3_5	mean_1_var_1	0.004326504830497792	0.24775224775224775	0.5420068890100436	0.24982523317392924	0.595791141022388
HAUS1_nmdSE_3	mean_1_var_1	0.003694833018025576	0.24775224775224775	0.5420068890100436	0.258023406319495	0.6027779902629042
HSPA9_nmdSE_2	mean_1_var_1	0.03684523542283455	0.000999000999000999	0.018981018981018984	0.02316603910467304	0.14489526289518684
OCIAD1_5	mean_1_var_1	-0.019744627159153247	0.7612387612387612	0.8790456854972984	0.6179374557930167	0.811628078773593
PDAP1_1	mean_1_var_1	-0.04989451053121238	0.9200799200799201	0.96993006993007	0.9359231593319396	0.9610824615893007
PDCD10_10	mean_1_var_1	0.012931542108243545	0.15884115884115885	0.4379973902836726	0.1530062013934298	0.48015985885052903
PDCD10_5	mean_1_var_1	-0.0268601948040678	0.8371628371628371	0.9266918237389107	0.7218398699753292	0.8531481315286122
PPIA_9	mean_1_var_1	-0.011413909302033988	0.4305694305694306	0.6904209453003941	0.48508126005891194	0.7564382800721277
SEPT2_26	mean_1_var_1	-0.06752020505142799	0.9200799200799201	0.96993006993007	0.9873054395084456	0.9923738736815164
ARRB2_5	mean_1_var_2	0.06836946473888539	0.000999000999000999	0.018981018981018984	0.0028964037345324003	0.033040701350027624
DDB1_8	mean_1_var_2	-0.014201440056396479	0.5464535464535465	0.7600767600767601	0.4256320622337736	0.7143842377086359
EBP_4	mean_1_var_2	-0.030637351646910126	0.6113886113886113	0.7976994967649174	0.6271870140692672	0.8156203475895144
EIF4E_6	mean_1_var_2	0.08182931435406976	0.000999000999000999	0.018981018981018984	0.0007401727520451594	0.012077877730431013
NDUFA5_nmdSE_1	mean_1_var_2	0.01688774676195888	0.07592407592407592	0.3220388174516615	0.12387757734896987	0.42740845717169457
PCNP_2	mean_1_var_2	0.004760023200980664	0.22477522477522477	0.5144607867380144	0.2182593631072397	0.5607886538710385
PCNP_5	mean_1_var_2	-0.00788285745991108	0.45754245754245754	0.7162656756336215	0.35037573618852536	0.6682424274031101
PCNP_nmdSE_1	mean_1_var_2	-0.000949502768753672	0.3016983016983017	0.5888375299314991	0.27416826790897453	0.6193345074751591
PCNP_nmdSE_2	mean_1_var_2	0.004531954075174636	0.22477522477522477	0.5144607867380144	0.22035886201737354	0.5610984497479693
RAB14_1	mean_1_var_2	0.03705850856286252	0.000999000999000999	0.018981018981018984	0.037206644580253606	0.2013338598074149
SUMO1_3	mean_1_var_2	0.022032161430077944	0.07592407592407592	0.3220388174516615	0.09407886037749397	0.36448988643459257
UBE2V1_7	mean_1_var_2	-0.02147349141353079	0.6113886113886113	0.7976994967649174	0.515551540216819	0.771914335024618
UQCRB_1	mean_1_var_2	-0.013507477308044956	0.5464535464535465	0.7600767600767601	0.4171772357594247	0.7106469710896164
ANXA2_24	mean_1_var_3	0.007877446196368569	0.33666333666333664	0.6226027306027306	0.24788387499428083	0.595791141022388
BCLAF1_2	mean_1_var_3	0.0013522052602986912	0.4985014985014985	0.7432471169087872	0.30114926818460785	0.6386758944526776
BCLAF1_nmdSE_1	mean_1_var_3	0.008898161835979667	0.16183816183816183	0.44372327083525515	0.2400311381428668	0.5871180811686386
PUF60_5	mean_1_var_3	-0.015181784933321132	0.6623376623376623	0.8187721369539552	0.4540186649911646	0.7355132672636402
RPS2_5	mean_1_var_3	0.1175293265022783	0.000999000999000999	0.018981018981018984	0.0003745396498577939	0.007681764076033691
RPS3A_nmdSE_1	mean_1_var_3	-0.05775133382380121	0.8301698301698301	0.9218939587234223	0.8234851166359896	0.9029042346040455
C11orf74_nmdSE_1	mean_1_var_4	-0.060980823785045456	1.0	1.0	0.999998061612083	0.999998061612083
FBL_3	mean_1_var_4	0.05409328384250087	0.000999000999000999	0.018981018981018984	0.0001907759197424146	0.004562175873840156
PPIA_6	mean_1_var_4	0.0814119199971246	0.000999000999000999	0.018981018981018984	1.9849747908303427e-08	1.5295333527120474e-06
RPL7L1_2	mean_1_var_4	-0.00028149963075402366	0.6583416583416584	0.8174752731601433	0.6210169378872278	0.8141309006139744
SEPT2_35	mean_1_var_4	-0.015311984280798724	0.8301698301698301	0.9218939587234223	0.9154863703256413	0.9525728399412337
USP10_15	mean_1_var_4	0.05224498763462151	0.000999000999000999	0.018981018981018984	0.00031161929017531657	0.006753374304268189
PABPC1_2	mean_1_var_5	-0.029341866220661088	0.5994005994005994	0.7880271387380392	0.5890649929995377	0.798119902435961
PPIA_nmdSE_1	mean_1_var_5	-0.0529795718763304	0.8071928071928072	0.9146866205689735	0.864057827126603	0.9298723398227227
RPL10_3	mean_1_var_5	0.016061700130157484	0.000999000999000999	0.018981018981018984	0.07313039098761175	0.30098472492527445
RPL18A_3	mean_1_var_5	0.07115814082460523	0.000999000999000999	0.018981018981018984	0.00024232564637586586	0.005509929041365999
SRRM1_2	mean_1_var_5	0.06104584157607034	0.000999000999000999	0.018981018981018984	0.000918562784461263	0.014000511890634856
AASS_7	mean_2_var_1	-0.04208446111825049	0.6233766233766234	0.7979711181183122	0.6749968638613323	0.8272211601298605
ACD_2	mean_2_var_1	-0.0846271936891292	0.8941058941058941	0.9561487086544913	0.8749469630167126	0.9349394743483671
ADA_3	mean_2_var_1	0.033892606903562786	0.20679320679320679	0.4962321415608613	0.21481144861443097	0.5607886538710385
ADRM1_4	mean_2_var_1	-0.0184966453146424	0.5134865134865135	0.7520652525932358	0.5269753347923762	0.7812811292140823
AK2_nmdSE_1	mean_2_var_1	0.05462938773708669	0.13986013986013987	0.4130478401091509	0.12939488828666507	0.4398791913078541
ALG5_5	mean_2_var_1	0.11944781591886976	0.02097902097902098	0.19143356643356646	0.014254778062616047	0.10572928969437678
ANAPC15_7	mean_2_var_1	-0.02518296317526749	0.5444555444555444	0.7600767600767601	0.570289090740257	0.7925761210989344
ANAPC16_4	mean_2_var_1	-0.033875131521935026	0.5914085914085914	0.7804792733432124	0.6252820982435144	0.8156203475895144
ANKRD10_7	mean_2_var_1	0.0869482088314513	0.04695304695304695	0.2500356786071072	0.048633530443850624	0.23180311589560418
ARCN1_1	mean_2_var_1	0.017192863466876162	0.2907092907092907	0.5806196644264827	0.302753956230957	0.6401215507505144
ARMC8_13	mean_2_var_1	0.009609165327836401	0.36663336663336665	0.6412616387395706	0.34739375251842053	0.6682424274031101
ARMCX6_3	mean_2_var_1	-0.13179700063901736	0.98001998001998	0.9910220878902598	0.972707556979587	0.9847776507523265
ARPC1B_5	mean_2_var_1	0.00010609657769838622	0.4085914085914086	0.6787021361871661	0.4063980498980196	0.708718053375509
ARPC1B_6	mean_2_var_1	-0.025805479727172783	0.5494505494505495	0.7605667785308505	0.574287111675333	0.7939286899121656
ARPC1B_8	mean_2_var_1	0.0009980759466920851	0.4025974025974026	0.6752147489753294	0.4007445770582737	0.7022597283678539
ASH2L_4	mean_2_var_1	-0.10227689959434622	0.9460539460539461	0.976322041054184	0.9249221438502684	0.9560788760604267
ATF7IP_8	mean_2_var_1	0.02620987572274868	0.25574425574425574	0.5533810962828124	0.2533175120801946	0.5985543258181089
ATOX1_3	mean_2_var_1	0.028855665704482385	0.23876123876123875	0.5337840329814648	0.23966126617242872	0.5871180811686386
ATRX_6	mean_2_var_1	-0.046746676539808345	0.6423576423576424	0.8075435876340853	0.7019663917664087	0.840058140966358
BAZ2B_1	mean_2_var_1	0.07577292421101588	0.08291708291708291	0.33100788100788103	0.07006151616672383	0.29717224135549225
BCS1L_6	mean_2_var_1	-0.06089907241085462	0.7662337662337663	0.8790456854972984	0.7768836042035245	0.8764683349736978
BRD8_6	mean_2_var_1	-0.08570912078210287	0.8941058941058941	0.9561487086544913	0.8785564227391364	0.9370585102581449
BZW2_3	mean_2_var_1	-0.028336073151192184	0.5734265734265734	0.772177337225881	0.5904568163097473	0.798119902435961
C11orf49_4	mean_2_var_1	-0.06678320118819618	0.8121878121878122	0.9151133188501183	0.8045597834447491	0.8929880478908483
C17orf49_3	mean_2_var_1	-0.09796940495731644	0.9280719280719281	0.96993006993007	0.9144185491778922	0.9521760718541566
C19orf48_1	mean_2_var_1	0.017555457058484467	0.2907092907092907	0.5806196644264827	0.3006851058791398	0.6386680579699341
C19orf48_3	mean_2_var_1	0.0009060343217396447	0.4025974025974026	0.6752147489753294	0.40132700872594995	0.7022597283678539
C8orf33_1	mean_2_var_1	0.057738706923524494	0.13486513486513488	0.40931715986420586	0.11897039163662887	0.4209949557015153
CALU_3	mean_2_var_1	0.07932356885441716	0.07792207792207792	0.326519402048103	0.06258252354043711	0.2746897473119819
CCNC_2	mean_2_var_1	0.131598472050851	0.004995004995004995	0.08055897590781312	0.008445218134818975	0.07417995827116498
