	RBM47	RBM5	SRSF10	SRSF1	SRSF3	SRSF7	SRSF9	ELAVL1	PTBP1PTBP2	RBFOX2	RBM10	RBM15	RBM22	RBM27
Eif2d_3_se	0	1	2	0	0	0	0	0	0	2	0	1	1	0
Eif2d_5_e1	2	0	1	0	0	1	1	1	1	0	0	0	0	0
Eif2d_5_e2	0	1	1	0	0	0	0	0	0	1	0	0	1	0
Eif2d_5_se	0	1	0	1	0	0	0	0	0	3	0	0	2	0
Eif2s3y_3_e1	1	0	1	0	1	1	0	1	1	0	0	0	0	0
Eif2s3y_3_e2	3	0	1	0	0	0	0	2	0	0	0	0	0	0
Eif2s3y_3_se	3	0	3	1	1	2	2	0	2	0	0	0	0	0
Eif4a2_6_e1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Eif4a2_6_e2	2	0	0	0	0	0	0	0	1	0	0	0	0	0
Eif4a2_6_se	3	0	0	0	1	1	1	1	1	0	0	0	1	0
Eif4e2_1_e1	0	0	0	0	2	0	0	0	0	0	0	0	1	0
Eif4e2_1_e2	1	0	0	2	0	0	0	1	0	0	0	0	0	0
Eif4e2_1_se	0	2	0	1	1	1	1	0	0	1	1	0	1	0
Eif4e2_2_e1	0	1	0	1	1	0	0	0	0	1	0	2	2	2
Eif4e2_2_e2	2	0	0	0	1	0	0	0	1	0	2	0	0	0
Eif4e2_2_se	0	4	1	1	0	0	0	0	0	4	1	1	2	2
Eif4g1_12_e1	0	1	0	2	1	0	0	0	1	1	0	4	2	2
Eif4g1_12_e2	0	2	1	1	1	0	1	0	0	2	0	1	2	1
Eif4g1_12_se	0	1	0	2	2	0	0	0	0	2	1	0	2	0
Eif4g1_3_e1	0	2	0	1	0	0	0	0	0	2	0	2	2	1
Eif4g1_3_e2	0	2	0	1	0	0	0	0	0	1	0	2	2	2
Eif4g1_3_se	0	2	2	1	2	0	0	0	0	2	0	0	1	0
Eif4g1_5_e1	0	1	0	1	2	0	0	0	0	2	1	0	2	0
Eif4g1_5_e2	0	2	0	0	0	0	0	0	0	3	0	1	3	1
Eif4g1_5_se	0	3	2	1	2	0	1	0	0	4	0	1	3	1
Eif4g1_8_e1	0	1	0	2	1	0	0	0	1	1	0	4	2	2
Eif4g1_8_e2	0	2	0	0	0	0	0	0	0	3	0	1	3	1
Eif4g1_8_se	0	3	2	1	2	0	1	0	0	4	0	1	3	1
Eif4g3_10_e1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eif4g3_10_e2	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Eif4g3_10_se	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif4g3_11_e1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eif4g3_11_e2	1	0	0	0	1	0	0	0	0	0	1	0	0	0
Eif4g3_11_se	0	2	1	0	1	0	0	1	1	2	0	1	2	2
Eif4g3_12_e1	0	1	1	1	1	0	0	0	0	2	0	0	1	0
Eif4g3_12_e2	1	0	1	1	2	0	1	1	2	0	0	0	0	0
Eif4g3_12_se	0	1	0	0	0	0	0	0	0	1	0	1	1	0
Eif4g3_13_e1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eif4g3_13_e2	1	2	2	1	2	1	2	0	1	2	1	2	1	1
Eif4g3_13_se	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Eif4g3_15_e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif4g3_15_e2	1	2	2	1	2	1	2	0	1	2	1	2	1	1
Eif4g3_15_se	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Eif4g3_16_e1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eif4g3_16_e2	1	2	2	1	2	1	2	0	1	2	1	2	1	1
Eif4g3_16_se	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif4g3_20_e1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eif4g3_20_e2	1	2	2	1	2	1	2	0	1	2	1	2	1	1
Eif4g3_20_se	1	0	0	0	3	1	0	0	2	0	1	0	0	0
Eif4g3_2_e1	0	1	1	1	1	0	0	0	0	2	0	0	1	0
Eif4g3_2_e2	1	0	1	1	2	0	1	1	2	0	0	0	0	0
Eif4g3_2_se	0	2	0	0	0	0	0	0	0	2	0	1	2	0
Eif4h_1_e1	0	1	0	1	0	0	0	0	2	1	0	1	2	1
Eif4h_1_e2	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Eif4h_1_se	2	0	2	1	2	1	2	1	2	0	1	0	1	0
Eif5a_4_e1	0	0	1	0	2	1	0	0	1	0	0	0	0	0
Eif5a_4_e2	0	2	0	1	1	0	0	0	0	2	0	3	2	2
Eif5a_4_se	0	1	1	0	2	0	0	0	0	1	0	1	3	1
Eif5a_5_e1	0	0	1	0	2	1	0	0	1	0	0	0	0	0
Eif5a_5_e2	0	1	1	0	1	0	0	0	0	1	0	1	1	1
Eif5a_5_se	0	1	1	0	2	0	0	0	0	1	0	1	3	1
Eif5a_8_e1	0	0	1	0	2	1	0	0	1	0	0	0	0	0
Eif5a_8_e2	0	3	1	0	1	0	0	0	0	2	0	3	3	4
Eif5a_8_se	0	1	1	0	2	0	0	0	0	1	0	1	3	1
Eif5a_9_e1	0	0	1	0	2	1	0	0	1	0	0	0	0	0
Eif5a_9_e2	0	2	0	1	1	0	0	0	0	2	0	3	2	2
Eif5a_9_se	0	1	1	0	2	0	0	0	0	1	0	1	3	1
Elavl2_7_e1	1	0	0	0	1	0	0	1	1	0	1	0	0	0
Elavl2_7_e2	0	2	0	1	1	0	1	0	0	2	0	3	2	3
Elavl2_7_se	1	1	1	0	3	0	0	1	2	1	0	1	1	0
Elavl2_8_e1	1	0	0	0	1	0	0	1	1	0	1	0	0	0
Elavl2_8_e2	2	0	0	0	0	1	0	1	1	0	0	0	0	0
Elavl2_8_se	1	1	1	0	3	0	0	1	2	1	0	1	1	0
Elmo2_2_e1	0	0	0	0	1	0	0	0	1	0	0	0	1	0
Elmo2_2_e2	0	0	0	1	1	0	0	0	1	1	0	0	1	0
Elmo2_2_se	0	0	0	0	2	1	0	0	2	1	0	0	1	0
Elovl6_2_e1	0	1	1	0	1	0	0	0	1	1	0	0	1	0
Elovl6_2_e2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Elovl6_2_se	0	1	1	0	2	1	0	0	1	1	0	0	1	1
Elp5_6_e1	0	0	0	0	0	0	0	0	2	2	0	0	1	0
Elp5_6_e2	0	0	1	0	2	0	0	0	0	1	0	0	1	0
Elp5_6_se	1	0	0	0	1	0	1	1	5	0	1	0	1	0
Emc10_7_e1	0	2	0	2	1	1	1	0	1	3	1	2	2	2
Emc10_7_e2	0	1	0	3	1	0	0	0	0	1	0	1	1	1
Emc10_7_se	0	3	0	0	0	0	0	0	1	3	1	3	3	4
Emc1_1_e1	0	0	0	1	1	0	2	0	1	0	0	0	1	0
Emc1_1_e2	0	3	1	1	0	0	0	0	0	2	0	0	1	1
Emc1_1_se	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emc4_3_e1	0	0	0	0	1	1	0	0	0	0	0	0	1	0
Emc4_3_e2	0	2	0	1	0	0	0	0	0	1	0	1	3	2
Emc4_3_se	1	1	0	1	3	0	0	0	2	1	0	0	0	1
Emc8_13_e1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Emc8_13_e2	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Emc8_13_se	0	3	1	0	1	0	0	0	2	2	0	0	3	0
Emc8_3_e1	0	0	0	1	1	0	0	0	2	0	0	0	0	0
Emc8_3_e2	0	1	0	0	0	0	0	0	0	2	0	1	2	1
Emc8_3_se	0	4	1	3	4	0	0	0	2	4	0	3	6	2
Eml1_3_e1	1	0	0	1	2	0	0	1	0	1	2	0	0	0
Eml1_3_e2	1	0	0	1	0	1	1	0	0	0	1	0	0	0
Eml1_3_se	0	4	1	0	1	0	0	0	0	4	0	3	3	1
Eml1_4_e1	0	2	0	0	0	0	1	0	1	2	0	1	2	1
Eml1_4_e2	1	0	0	1	2	0	0	1	0	1	2	0	0	0
Eml1_4_se	0	1	0	0	1	0	1	0	1	1	0	2	2	0
Emsy_10_e1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
Emsy_10_e2	1	0	2	1	1	0	0	0	1	0	0	0	0	0
Emsy_10_se	3	0	0	0	0	0	0	2	0	0	0	0	0	0
Emsy_11_e1	0	1	0	0	1	0	0	0	2	1	0	0	1	1
Emsy_11_e2	0	1	1	1	2	1	0	0	0	2	0	0	1	0
Emsy_11_se	1	1	1	0	2	0	0	1	0	2	0	0	0	0
Emsy_12_e1	0	0	1	0	2	0	0	0	0	0	0	0	1	0
Emsy_12_e2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Emsy_12_se	1	0	1	1	3	1	1	1	2	0	2	0	0	0
Emsy_15_e1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
Emsy_15_e2	0	1	0	0	1	0	0	0	0	1	0	1	1	0
Emsy_15_se	1	0	0	0	1	0	0	1	1	0	0	0	0	0
Emsy_6_e1	1	0	1	0	2	1	1	0	1	0	1	0	0	1
Emsy_6_e2	0	0	0	1	1	0	0	0	2	0	0	0	0	0
Emsy_6_se	2	0	1	0	0	0	0	1	0	0	1	0	0	0
Emsy_7_e1	0	1	0	0	1	0	0	0	2	1	0	0	1	1
Emsy_7_e2	0	1	1	1	2	1	0	0	0	2	0	0	1	0
Emsy_7_se	0	1	0	0	1	0	0	0	0	2	0	0	0	0
Emsy_9_e1	1	0	1	0	0	0	0	1	0	0	1	0	0	0
Emsy_9_e2	0	0	0	1	1	0	0	0	2	0	0	0	0	0
Emsy_9_se	2	0	1	0	2	0	0	2	0	0	2	0	0	0
Ep400_4_e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ep400_4_e2	1	1	1	0	0	0	0	1	0	1	0	1	1	1
Ep400_4_se	1	0	0	0	0	0	0	1	1	1	1	0	0	0
Ep400_7_e1	1	1	0	0	1	0	0	1	1	1	0	1	1	1
Ep400_7_e2	0	0	1	1	1	0	1	0	0	0	0	0	0	0
Ep400_7_se	2	1	1	1	0	1	1	2	1	1	1	0	1	0
Epb41_2_e1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Epb41_2_e2	1	0	1	1	3	1	1	1	0	0	1	0	0	0
Epb41_2_se	0	2	0	1	3	1	1	0	3	3	0	1	3	1
Epb41_3_e1	1	0	1	0	0	0	0	1	1	0	0	0	1	0
Epb41_3_e2	0	1	0	0	0	0	0	0	0	0	0	1	1	0
Epb41_3_se	2	0	0	0	2	0	0	1	1	1	1	0	1	0
Epb41l1_3_e1	0	1	0	0	1	0	0	0	0	1	0	0	2	0
Epb41l1_3_e2	0	1	0	0	2	1	0	0	2	1	1	0	1	0
Epb41l1_3_se	0	3	0	1	2	0	0	0	0	3	0	2	2	3
Epb41l1_5_e1	0	0	0	2	1	0	0	0	0	0	0	0	0	1
Epb41l1_5_e2	0	0	0	0	1	0	0	0	0	2	0	1	1	0
Epb41l1_5_se	0	1	0	1	0	0	0	0	0	2	0	1	1	1
Epb41l3_5_e1	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Epb41l3_5_e2	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Epb41l3_5_se	0	1	0	1	2	0	0	0	1	2	0	0	2	0
Epb41l4aos_1_e1	0	0	1	1	1	1	0	0	1	0	0	0	0	0
Epb41l4aos_1_e2	0	0	1	0	0	1	1	0	0	0	0	0	0	0
Epb41l4aos_1_se	0	0	1	0	1	1	0	0	1	0	0	0	0	0
Epha5_2_e1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
Epha5_2_e2	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Epha5_2_se	1	0	0	1	3	1	1	1	0	2	0	0	1	0
Epha5_3_e1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Epha5_3_e2	0	1	0	0	1	0	0	0	1	0	0	0	0	0
Epha5_3_se	1	1	1	0	2	1	1	1	2	2	1	1	2	0
Epha5_4_e1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
