	RBM47	RBM5	SRSF10	SRSF1	SRSF3	SRSF7	SRSF9	ELAVL1	PTBP1PTBP2	RBFOX2	RBM10	RBM15	RBM22	RBM27
Aamdc_10_e1	0	0	0	0	1	1	1	0	1	1	1	0	1	0
Aamdc_10_e2	0	1	1	1	1	0	0	0	0	1	0	0	1	0
Aamdc_10_se	1	0	0	0	2	0	1	1	2	0	1	0	0	0
Aamdc_9_e1	1	0	0	0	1	0	0	1	1	0	1	0	1	0
Aamdc_9_e2	0	0	2	1	1	0	1	0	0	0	0	0	0	0
Aamdc_9_se	3	0	1	1	4	1	1	1	3	0	2	0	1	0
Aamdc_nmdSE_2_e1	1	0	0	0	1	0	0	1	1	0	1	0	1	0
Aamdc_nmdSE_2_e2	1	0	0	1	2	1	1	1	2	0	2	0	1	0
Aamdc_nmdSE_2_se	2	0	1	1	1	1	1	1	1	0	1	0	0	0
Aasdhppt_2_e1	1	0	0	0	1	0	0	1	1	0	0	0	0	0
Aasdhppt_2_e2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aasdhppt_2_se	2	0	0	0	0	0	0	2	0	0	0	0	0	0
Abat_3_e1	0	0	0	1	2	1	2	0	1	1	0	0	1	1
Abat_3_e2	0	0	0	0	1	0	0	0	0	1	0	0	1	0
Abat_3_se	0	1	1	0	0	0	1	0	1	2	0	0	2	0
Abca3_4_e1	0	2	0	1	0	0	0	0	1	1	0	3	2	1
Abca3_4_e2	1	1	1	2	0	1	1	0	0	1	0	1	1	0
Abca3_4_se	1	0	0	0	0	0	0	1	0	0	1	0	0	0
Abhd10_1_e1	1	0	0	0	1	0	0	1	1	0	0	0	0	0
Abhd10_1_e2	1	0	1	1	1	1	1	0	1	0	1	0	0	0
Abhd10_1_se	1	0	0	0	0	0	0	1	1	0	0	0	0	0
Abhd10_2_e1	0	0	1	1	1	1	1	0	1	0	1	0	0	0
Abhd10_2_e2	0	2	1	0	2	0	0	0	0	2	0	2	3	2
Abhd10_2_se	2	0	1	0	1	1	2	1	2	0	0	0	0	0
Abhd14a_1_e1	0	0	0	0	2	1	1	0	2	1	1	0	1	0
Abhd14a_1_e2	0	2	0	0	0	0	0	0	1	1	0	2	3	1
Abhd14a_1_se	0	1	1	1	1	1	0	0	1	2	2	0	2	1
Abhd14a_3_e1	0	0	0	0	2	1	1	0	2	1	1	0	1	0
Abhd14a_3_e2	0	2	0	0	0	0	0	0	1	1	0	2	3	1
Abhd14a_3_se	0	1	1	1	1	1	0	0	1	2	2	0	2	1
Abi1_8_e1	1	0	0	2	2	1	1	1	1	1	2	0	1	0
Abi1_8_e2	0	0	1	0	1	0	0	0	1	0	0	0	0	0
Abi1_8_se	1	0	0	0	2	0	0	1	3	2	1	0	1	0
Abi2_2_e1	1	1	1	0	1	0	0	1	1	1	1	1	1	0
Abi2_2_e2	0	0	0	2	1	1	1	0	1	0	0	0	0	0
Abi2_2_se	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Abi2_3_e1	1	0	0	4	2	3	1	1	1	0	0	0	0	0
Abi2_3_e2	1	0	1	1	0	0	0	0	0	1	0	0	0	0
Abi2_3_se	0	2	3	0	0	0	0	0	0	3	0	1	2	0
Abi2_4_e1	1	0	0	1	1	1	1	0	0	0	1	0	0	0
Abi2_4_e2	0	1	1	0	1	0	1	0	0	1	0	1	1	0
Abi2_4_se	1	0	2	0	0	1	1	0	0	0	0	0	0	0
Abi2_5_e1	1	0	0	4	2	3	1	1	1	0	0	0	0	0
Abi2_5_e2	1	0	1	1	0	0	0	0	0	1	0	0	0	0
Abi2_5_se	0	2	2	0	0	0	0	0	0	2	0	1	1	0
Abi2_7_e1	1	0	2	0	1	0	0	1	0	0	0	0	0	0
Abi2_7_e2	1	2	2	0	2	0	1	1	0	2	0	0	1	0
Abi2_7_se	1	0	1	1	1	0	2	2	0	0	0	0	0	0
Ablim1_3_e1	2	0	0	1	1	2	1	1	2	0	0	0	0	0
Ablim1_3_e2	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Ablim1_3_se	0	0	0	0	4	2	2	0	2	1	2	1	1	1
Ablim1_6_e1	0	0	1	0	2	0	0	0	0	0	0	0	1	0
Ablim1_6_e2	1	0	0	1	1	2	1	0	3	0	0	0	0	0
Ablim1_6_se	0	1	1	1	1	0	1	0	0	2	0	1	1	1
Ablim1_7_e1	0	0	1	0	2	0	0	0	0	0	0	0	1	0
Ablim1_7_e2	1	0	0	1	1	2	1	0	3	0	0	0	0	0
Ablim1_7_se	0	1	1	1	1	0	1	0	0	2	0	1	1	1
Ablim2_10_e1	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Ablim2_10_e2	0	1	0	0	1	0	0	0	1	2	1	2	3	1
Ablim2_10_se	0	1	1	0	1	0	0	0	0	2	0	0	1	0
Ablim2_4_e1	0	2	0	0	1	0	0	0	0	3	0	1	2	1
Ablim2_4_e2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Ablim2_4_se	0	1	1	1	1	0	0	0	0	4	0	1	3	0
Ablim2_6_e1	0	0	0	0	1	0	0	0	0	1	0	0	1	1
Ablim2_6_e2	0	0	0	0	1	0	0	0	0	1	0	2	1	1
Ablim2_6_se	0	1	0	0	2	0	0	0	0	2	0	0	1	0
Ablim2_8_e1	0	1	0	1	3	0	0	0	1	1	0	0	1	1
Ablim2_8_e2	0	1	1	2	0	0	1	0	0	1	0	2	2	2
Ablim2_8_se	0	2	0	1	1	0	0	0	1	3	0	2	2	1
Ablim2_nmdSE_1_e1	0	1	0	0	0	0	0	0	0	1	0	0	2	1
Ablim2_nmdSE_1_e2	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Ablim2_nmdSE_1_se	0	1	1	0	0	0	0	0	0	2	0	2	3	2
Ablim3_5_e1	0	0	1	1	1	0	1	0	1	0	1	0	1	0
Ablim3_5_e2	0	1	1	1	1	1	0	0	1	1	1	0	0	0
Ablim3_5_se	0	2	0	0	1	0	0	0	1	2	0	1	2	2
Acad8_2_e1	0	0	1	0	1	1	1	0	1	0	0	0	1	0
Acad8_2_e2	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Acad8_2_se	0	0	1	1	2	1	1	0	1	2	1	0	1	1
Acad9_1_e1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Acad9_1_e2	0	0	2	1	2	1	0	0	1	0	0	0	0	0
Acad9_1_se	0	0	1	1	3	0	0	0	1	0	0	0	0	0
Acbd5_5_e1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
Acbd5_5_e2	1	0	0	0	0	1	1	1	0	0	1	0	0	0
Acbd5_5_se	2	0	0	1	0	1	2	2	0	0	0	0	0	0
Acin1_12_e1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
Acin1_12_e2	1	1	1	1	0	0	0	0	1	0	0	1	0	0
Acin1_12_se	0	1	0	2	3	1	0	0	2	3	1	0	2	1
Acin1_7_e1	0	0	1	0	1	1	1	0	1	1	2	0	1	0
Acin1_7_e2	0	1	1	0	0	0	0	0	0	1	0	1	2	1
Acin1_7_se	1	5	4	5	10	3	3	2	5	7	3	4	9	6
Acly_6_e1	0	2	0	0	1	0	0	0	1	3	0	0	2	1
Acly_6_e2	0	1	0	0	1	0	0	0	1	1	0	1	1	1
Acly_6_se	0	0	0	1	2	0	0	1	2	1	1	0	2	1
Acot8_1_e1	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Acot8_1_e2	0	0	1	1	0	0	0	0	0	0	0	0	1	1
Acot8_1_se	0	1	0	0	0	1	1	0	3	0	1	1	2	1
Acsf3_1_e1	0	0	1	1	1	1	1	0	1	0	1	0	0	0
Acsf3_1_e2	0	0	0	0	2	0	0	0	0	2	0	0	1	0
Acsf3_1_se	0	2	0	1	0	0	0	0	0	2	0	2	1	4
Acsl3_1_e1	0	1	0	2	0	0	1	0	0	2	0	3	2	2
Acsl3_1_e2	2	0	1	0	1	0	0	1	0	0	0	0	0	0
Acsl3_1_se	2	0	1	0	0	0	0	0	0	0	1	0	0	0
Acss2_2_e1	0	0	0	1	1	1	1	0	1	1	0	0	1	1
Acss2_2_e2	0	0	0	1	2	1	1	0	1	1	1	0	1	0
Acss2_2_se	0	1	0	1	1	0	0	0	0	1	0	1	1	0
Actl6b_4_e1	0	3	0	0	1	0	0	0	0	2	0	3	3	3
Actl6b_4_e2	0	0	0	0	0	1	0	0	0	1	0	1	1	0
Actl6b_4_se	0	2	2	3	2	0	1	0	0	3	0	1	2	0
Actr3b_2_e1	0	2	0	1	0	0	0	0	0	2	0	3	2	5
Actr3b_2_e2	0	0	1	0	1	1	1	0	0	0	0	0	0	0
Actr3b_2_se	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Adap1_1_e1	0	1	0	1	0	0	0	0	1	1	0	1	1	1
Adap1_1_e2	0	2	0	3	0	0	0	0	0	2	0	2	2	1
Adap1_1_se	0	1	0	2	3	2	1	0	2	3	1	0	2	0
Adcyap1r1_3_e1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Adcyap1r1_3_e2	0	2	1	0	1	0	0	0	1	2	0	1	1	1
Adcyap1r1_3_se	0	0	1	1	0	0	1	0	0	1	0	0	1	0
Adcyap1r1_4_e1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Adcyap1r1_4_e2	0	2	1	0	1	0	0	0	1	2	0	1	1	1
Adcyap1r1_4_se	0	0	1	1	0	0	1	0	0	1	0	0	1	0
Adcyap1r1_7_e1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Adcyap1r1_7_e2	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Adcyap1r1_7_se	0	1	1	1	1	0	0	0	0	1	0	1	1	1
Add1_2_e1	0	1	1	1	1	2	1	0	1	0	0	1	1	0
Add1_2_e2	0	2	1	1	2	0	0	0	0	2	0	1	2	2
Add1_2_se	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Add1_4_e1	0	1	1	1	1	2	1	0	1	0	0	1	1	0
Add1_4_e2	0	2	1	1	2	0	0	0	0	2	0	1	2	2
Add1_4_se	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Add1_6_e1	0	0	0	2	3	2	2	0	2	0	0	0	0	0
Add1_6_e2	0	0	0	0	1	0	0	0	0	2	0	0	1	0
Add1_6_se	0	2	2	1	1	0	0	0	0	1	0	0	1	1
Add1_7_e1	0	4	0	1	0	0	0	0	0	3	1	2	2	2
Add1_7_e2	1	0	0	0	1	0	0	1	0	1	1	1	1	0
Add1_7_se	3	0	1	1	0	0	0	2	2	0	0	0	0	0
Adgra1_1_e1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Adgra1_1_e2	0	1	1	1	1	0	0	0	0	1	0	0	1	0
Adgra1_1_se	2	0	3	1	5	0	0	4	5	0	1	0	0	0
Adgrb2_3_e1	0	0	0	0	0	0	0	0	0	2	1	0	1	1
Adgrb2_3_e2	0	1	0	4	0	0	0	0	0	1	0	0	1	1
Adgrb2_3_se	0	2	0	2	0	0	0	0	0	4	1	2	4	3
Adgrb3_4_e1	1	0	0	1	0	2	2	1	1	0	1	0	0	0
Adgrb3_4_e2	2	0	1	0	2	2	0	2	1	0	1	0	0	0
Adgrb3_4_se	0	0	2	1	0	0	0	0	1	0	0	0	0	0
Adgrl2_10_e1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Adgrl2_10_e2	1	0	0	1	2	2	1	0	1	0	1	0	0	0
Adgrl2_10_se	1	0	0	0	2	0	1	1	1	1	1	0	1	0
Adgrl2_13_e1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Adgrl2_13_e2	0	1	0	0	1	0	0	0	0	0	1	0	1	0
Adgrl2_13_se	1	0	1	1	4	3	1	0	2	0	2	0	0	0
Adgrl2_16_e1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Adgrl2_16_e2	0	0	0	2	2	0	0	0	0	0	0	0	0	0
Adgrl2_16_se	1	0	0	0	1	0	0	1	2	2	3	1	1	1
Adgrl2_21_e1	0	0	0	0	1	0	0	1	1	1	0	0	1	1
Adgrl2_21_e2	1	0	1	0	0	0	0	1	0	0	0	0	0	0
Adgrl2_21_se	2	0	1	0	1	2	1	1	1	1	1	0	1	0
Adgrl2_7_e1	1	0	0	0	2	0	0	1	1	0	1	0	0	0
Adgrl2_7_e2	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Adgrl2_7_se	1	0	0	1	1	1	1	1	0	1	2	0	1	1
Adora1_1_e1	0	0	0	1	1	0	0	0	1	0	0	1	0	0
Adora1_1_e2	0	1	1	0	3	0	0	0	0	1	0	1	2	1
Adora1_1_se	0	2	1	0	4	1	1	0	2	5	0	1	4	2
Adora1_2_e1	0	0	0	1	1	0	0	0	1	0	0	1	0	0
Adora1_2_e2	0	1	1	0	3	0	0	0	0	1	0	1	2	1
Adora1_2_se	0	2	1	0	4	1	1	0	2	4	0	1	3	2
Adpgk_1_e1	0	0	0	1	1	2	1	0	1	0	1	0	0	0
Adpgk_1_e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adpgk_1_se	0	1	2	1	1	0	0	0	1	1	1	0	2	0
Adprm_1_e1	1	0	0	0	3	0	0	1	2	0	1	0	0	0
Adprm_1_e2	0	3	1	1	2	0	0	0	1	2	0	2	3	1
Adprm_1_se	2	0	1	0	2	0	0	2	1	1	1	0	1	1
Adsl_4_e1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Adsl_4_e2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Adsl_4_se	2	0	1	1	2	2	2	0	0	0	0	0	0	0
Aen_1_e1	0	1	0	1	0	0	0	0	0	1	0	2	2	2
Aen_1_e2	0	2	0	0	2	0	0	0	0	2	0	0	1	0
Aen_1_se	0	1	0	0	2	0	0	0	1	4	0	3	8	1
Aen_2_e1	0	1	0	1	0	0	0	0	0	1	0	2	2	2
Aen_2_e2	0	2	0	0	2	0	0	0	0	2	0	0	1	0
Aen_2_se	0	2	2	2	4	0	0	0	1	5	0	4	9	2
Afg3l1_1_e1	0	1	0	0	1	0	0	0	0	0	0	1	2	0
Afg3l1_1_e2	0	1	1	0	1	0	0	0	0	1	0	0	0	0
Afg3l1_1_se	0	0	1	1	1	0	0	0	2	1	1	2	0	0
Aftph_4_e1	0	0	0	0	2	0	0	0	2	1	0	0	0	0
Aftph_4_e2	1	0	0	0	1	0	0	1	1	0	0	0	0	0
Aftph_4_se	0	0	0	0	2	1	1	0	1	0	1	0	1	0
Agbl5_3_e1	0	1	0	0	0	1	1	0	0	2	1	1	2	2
Agbl5_3_e2	0	2	0	0	0	0	0	0	0	1	0	1	2	1
Agbl5_3_se	0	0	1	1	1	1	1	0	1	2	1	0	1	0
Agrn_10_e1	0	1	0	1	2	1	2	1	0	1	2	0	2	1
Agrn_10_e2	0	0	0	0	1	0	0	0	1	1	0	0	1	0
Agrn_10_se	1	1	0	1	8	1	3	0	5	6	1	0	3	0
Agrn_11_e1	0	1	0	1	2	1	2	1	0	1	2	0	2	1
Agrn_11_e2	0	0	0	0	1	0	0	0	1	1	0	0	1	0
Agrn_11_se	0	1	0	0	1	1	1	0	1	1	1	0	1	0
Agrn_7_e1	0	1	0	1	2	1	2	1	0	1	2	0	2	1
Agrn_7_e2	0	0	0	0	1	0	0	0	1	1	0	0	2	0
Agrn_7_se	0	0	0	0	1	0	1	0	2	0	0	0	1	0
Agrn_8_e1	0	0	0	0	0	0	1	0	1	0	0	0	1	0
Agrn_8_e2	0	0	0	0	1	0	0	0	1	1	0	0	1	0
Agrn_8_se	0	1	0	0	1	1	1	0	1	1	1	0	1	0
Agtpbp1_11_e1	1	0	0	0	0	0	1	1	0	0	1	0	0	0
Agtpbp1_11_e2	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Agtpbp1_11_se	2	0	0	0	1	0	0	3	1	1	0	0	0	0
Agtpbp1_6_e1	1	0	0	0	1	0	0	1	1	0	1	0	0	0
Agtpbp1_6_e2	1	0	1	0	1	0	0	1	0	0	0	0	0	0
Agtpbp1_6_se	2	0	0	0	0	0	0	2	0	0	0	0	0	0
Agtpbp1_8_e1	0	0	1	0	2	0	0	0	1	2	0	1	2	0
Agtpbp1_8_e2	0	0	0	0	2	1	0	0	0	1	0	0	0	0
Agtpbp1_8_se	2	0	2	0	4	0	0	2	2	0	1	0	0	0
Ahcyl1_3_e1	1	0	0	0	1	0	0	1	1	0	0	0	0	0
Ahcyl1_3_e2	1	0	0	0	0	0	1	1	2	1	0	0	0	0
Ahcyl1_3_se	0	0	2	0	3	0	1	0	1	0	0	0	0	0
Ahi1_2_e1	1	0	0	0	0	0	0	2	1	0	1	0	0	0
Ahi1_2_e2	0	1	1	1	1	0	0	0	0	1	0	1	1	0
Ahi1_2_se	2	0	0	0	0	0	0	2	0	0	1	0	0	0
Akap9_10_e1	2	0	0	0	0	0	0	2	0	0	0	0	0	0
Akap9_10_e2	1	0	1	0	2	1	1	1	1	0	1	0	0	0
Akap9_10_se	2	0	0	0	0	1	1	0	1	1	0	0	0	0
Akr7a5_2_e1	0	1	0	1	0	0	0	0	0	0	0	0	1	0
Akr7a5_2_e2	0	2	0	1	1	0	0	0	0	2	0	0	2	1
Akr7a5_2_se	1	3	0	0	0	0	0	1	1	2	1	1	2	2
Aktip_3_e1	0	1	0	0	2	0	0	0	1	1	0	0	1	0
Aktip_3_e2	0	3	0	1	0	0	0	0	0	3	0	3	4	3
Aktip_3_se	2	0	0	0	1	1	2	2	1	1	2	0	0	0
Alcam_1_e1	0	0	0	1	2	1	0	1	2	0	1	1	1	1
Alcam_1_e2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Alcam_1_se	2	0	0	0	1	0	0	1	2	0	0	0	0	0
Aldh3a2_1_e1	1	0	0	0	1	0	1	1	2	0	1	0	0	0
Aldh3a2_1_e2	0	0	0	0	1	0	0	0	1	1	0	0	0	0
Aldh3a2_1_se	1	1	0	0	2	0	0	1	3	1	0	0	1	0
Aldh3a2_2_e1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Aldh3a2_2_e2	0	1	0	1	0	0	0	0	0	2	0	1	1	1
Aldh3a2_2_se	0	1	0	0	1	0	0	1	2	2	0	2	2	3
Aldh4a1_1_e1	0	0	0	0	0	0	1	0	1	1	0	0	1	1
Aldh4a1_1_e2	0	1	1	2	1	1	1	0	2	0	1	0	0	0
Aldh4a1_1_se	0	2	0	2	2	0	0	0	0	3	1	1	2	1
Aldh7a1_7_e1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Aldh7a1_7_e2	0	0	0	0	1	0	0	0	1	0	0	0	1	0
Aldh7a1_7_se	0	2	0	0	1	0	1	0	2	2	0	0	0	0
Alg14_2_e1	0	1	0	1	2	0	1	0	0	0	0	0	0	0
Alg14_2_e2	2	0	1	1	1	0	0	1	0	1	0	1	0	0
Alg14_2_se	0	0	1	0	0	0	0	0	1	1	0	0	0	0
Alg3_2_e1	0	0	0	0	0	1	0	0	2	0	0	0	0	0
Alg3_2_e2	0	1	0	2	0	1	0	0	0	1	0	1	2	0
Alg3_2_se	0	0	3	0	2	0	0	0	0	1	0	0	1	0
Alg3_5_e1	0	1	1	0	3	0	1	0	2	1	0	0	2	1
Alg3_5_e2	0	0	0	1	1	0	0	0	1	0	0	0	0	0
Alg3_5_se	0	0	0	1	4	1	1	1	1	2	2	1	2	0
Alg9_2_e1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Alg9_2_e2	0	0	2	0	0	0	0	0	0	1	0	0	0	0
Alg9_2_se	1	1	1	1	0	0	0	1	0	1	0	0	1	1
Alg9_4_e1	1	0	0	0	0	1	0	1	0	0	1	0	0	0
Alg9_4_e2	1	0	2	0	0	0	0	1	0	0	0	0	0	0
Alg9_4_se	0	0	0	1	2	0	0	0	1	0	1	0	0	0
Alg9_6_e1	0	1	0	0	2	0	0	0	1	0	0	1	1	0
Alg9_6_e2	0	0	2	0	0	0	0	0	0	1	0	0	0	0
Alg9_6_se	0	0	1	4	2	2	2	1	2	0	0	0	0	0
Alkbh3_3_e1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Alkbh3_3_e2	0	2	0	0	1	0	0	0	0	2	0	1	1	3
Alkbh3_3_se	0	2	1	0	1	0	0	0	0	1	0	1	2	1
Alkbh7_2_e1	0	0	0	1	1	1	1	0	0	4	1	1	2	3
Alkbh7_2_e2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Alkbh7_2_se	0	1	0	3	1	0	0	0	1	1	0	0	0	0
Ambra1_7_e1	0	1	1	0	0	0	0	0	0	1	0	0	0	0
Ambra1_7_e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ambra1_7_se	0	1	0	0	1	0	0	0	1	3	1	0	2	1
Amn1_3_e1	1	0	1	0	0	0	0	1	0	0	1	0	0	0
Amn1_3_e2	0	0	0	0	1	0	0	0	1	2	0	0	1	0
Amn1_3_se	3	0	0	0	0	0	0	3	1	0	0	0	0	0
Amn1_5_e1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Amn1_5_e2	0	0	0	0	1	0	0	0	1	2	0	0	1	0
Amn1_5_se	3	0	0	0	0	0	0	3	1	0	0	0	0	0
Amn1_7_e1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Amn1_7_e2	0	0	0	0	1	0	0	0	1	2	0	0	1	0
Amn1_7_se	1	0	3	0	0	0	0	1	0	0	1	0	0	0
Anapc16_4_e1	0	0	0	0	1	0	0	0	2	0	0	0	1	0
Anapc16_4_e2	0	1	0	2	1	1	0	0	0	1	0	1	1	2
Anapc16_4_se	1	0	0	0	0	0	0	1	2	0	0	0	1	0
Angel2_1_e1	1	0	1	0	0	2	2	0	0	0	0	0	0	0
Angel2_1_e2	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Angel2_1_se	2	0	2	0	1	1	0	2	1	0	0	0	0	0
Angel2_3_e1	1	0	0	0	0	2	1	0	1	0	0	0	0	0
Angel2_3_e2	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Angel2_3_se	2	0	0	1	1	0	0	2	0	0	1	0	0	0
Angel2_5_e1	0	1	0	0	0	0	0	0	1	1	2	2	1	1
Angel2_5_e2	2	0	0	0	0	0	0	3	1	0	1	0	0	0
Angel2_5_se	0	0	2	0	0	1	0	1	1	0	0	0	0	0
Ank2_11_e1	0	1	0	1	0	0	1	0	1	2	0	0	0	0
Ank2_11_e2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ank2_11_se	2	0	1	1	1	0	0	2	3	0	0	0	0	0
Ank2_13_e1	0	1	0	0	2	0	0	0	1	1	0	0	1	0
Ank2_13_e2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ank2_13_se	0	0	0	0	3	1	1	1	2	0	0	0	3	0
Ank2_14_e1	0	0	2	0	2	0	0	0	2	0	1	1	1	0
Ank2_14_e2	3	0	1	0	1	0	0	2	1	0	1	0	0	0
Ank2_14_se	1	0	1	1	1	1	1	2	0	0	0	0	0	0
Ank2_3_e1	0	0	0	1	1	1	1	0	1	0	1	0	0	0
Ank2_3_e2	1	0	0	1	0	0	0	1	0	0	1	0	0	0
Ank2_3_se	1	0	0	0	0	0	0	1	2	0	1	0	0	0
Ank2_9_e1	1	0	0	0	1	0	0	1	2	2	0	0	0	0
Ank2_9_e2	1	1	0	0	1	0	0	1	0	1	1	0	0	0
Ank2_9_se	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Ank3_10_e1	0	1	0	0	2	0	0	0	2	2	0	0	2	0
Ank3_10_e2	0	1	1	0	0	0	0	0	1	1	0	0	1	0
Ank3_10_se	1	0	0	1	0	0	0	1	1	0	1	0	0	0
Ankfy1_5_e1	1	0	1	0	0	0	0	1	1	0	0	0	0	0
Ankfy1_5_e2	2	0	0	1	0	1	1	0	0	0	0	0	0	0
Ankfy1_5_se	0	0	1	0	1	1	1	0	2	0	0	0	0	0
Ankrd10_nmdSE_1_e1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Ankrd10_nmdSE_1_e2	0	1	0	0	0	0	0	0	0	1	0	0	1	2
Ankrd10_nmdSE_1_se	1	0	1	0	2	0	0	1	0	0	0	0	0	0
Ankrd10_nmdSE_2_e1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Ankrd10_nmdSE_2_e2	0	1	0	0	0	0	0	0	0	1	0	0	1	2
Ankrd10_nmdSE_2_se	2	0	0	0	1	0	0	1	0	1	0	0	0	0
Ankrd11_nmdSE_1_e1	0	2	1	1	2	1	1	0	0	1	1	0	1	0
Ankrd11_nmdSE_1_e2	0	1	0	1	1	0	0	0	0	0	0	1	1	0
Ankrd11_nmdSE_1_se	1	0	1	0	1	0	0	1	1	0	0	0	0	0
Ankrd12_2_e1	2	0	1	0	0	0	0	2	3	0	0	0	0	0
Ankrd12_2_e2	1	0	1	0	1	0	0	1	1	0	0	0	0	0
Ankrd12_2_se	2	0	0	0	2	0	0	1	1	0	1	0	0	0
Ankrd16_nmdSE_1_e1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ankrd16_nmdSE_1_e2	1	0	1	0	2	1	1	0	2	0	1	0	0	0
Ankrd16_nmdSE_1_se	2	0	1	0	2	1	1	1	0	1	1	0	0	0
Ankrd16_nmdSE_2_e1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Ankrd16_nmdSE_2_e2	1	0	1	0	2	1	1	0	2	0	1	0	0	0
Ankrd16_nmdSE_2_se	1	0	1	0	2	0	0	0	0	1	0	0	0	0
Ankrd17_1_e1	1	0	0	0	1	1	0	1	1	0	0	0	0	0
Ankrd17_1_e2	1	0	0	0	1	0	0	0	1	0	0	0	0	0
Ankrd17_1_se	1	1	4	1	1	0	0	1	0	1	1	1	2	1
Ankrd54_1_e1	0	1	0	0	0	0	0	0	0	1	0	0	1	1
Ankrd54_1_e2	0	2	0	2	0	0	0	0	0	0	0	1	1	0
Ankrd54_1_se	0	0	0	2	2	0	0	0	1	0	1	0	0	0
Ankrd54_2_e1	1	1	0	1	1	0	1	0	1	1	0	1	1	0
Ankrd54_2_e2	1	1	1	0	1	0	0	1	1	1	1	0	2	2
Ankrd54_2_se	0	2	0	2	2	1	1	0	0	1	1	1	1	0
Ankrd54_nmdSE_1_e1	1	1	0	1	1	0	1	0	1	1	0	1	1	0
Ankrd54_nmdSE_1_e2	1	1	1	0	1	0	0	1	1	1	1	0	2	2
Ankrd54_nmdSE_1_se	0	2	0	2	2	1	1	0	0	1	1	1	1	0
Anks1b_7_e1	0	1	1	1	1	0	0	0	1	1	0	0	1	1
Anks1b_7_e2	0	0	0	0	1	0	0	0	1	1	0	0	1	0
Anks1b_7_se	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Anks3_11_e1	1	0	1	0	1	0	0	1	1	0	1	0	0	0
Anks3_11_e2	0	0	0	0	0	0	0	0	0	0	1	1	2	0
Anks3_11_se	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Anks3_16_e1	0	0	0	0	0	1	2	0	1	1	0	0	0	0
Anks3_16_e2	0	1	0	1	1	0	1	0	0	1	0	0	2	0
Anks3_16_se	0	0	1	1	3	0	0	0	1	1	0	0	0	0
Anks3_18_e1	0	0	0	0	0	1	2	0	1	1	0	0	0	0
Anks3_18_e2	0	1	0	1	0	0	0	0	0	2	0	2	1	2
Anks3_18_se	0	0	1	1	3	0	0	0	1	1	0	0	0	0
Anks3_3_e1	0	0	0	0	0	1	2	0	1	1	0	0	0	0
Anks3_3_e2	0	1	0	1	0	0	0	0	0	2	0	2	1	2
Anks3_3_se	0	2	1	1	2	0	1	0	1	2	0	2	3	1
Ap1ar_2_e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap1ar_2_e2	0	1	0	0	0	0	0	0	0	2	0	0	2	2
Ap1ar_2_se	0	1	1	1	2	0	0	1	2	1	0	1	2	1
