	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Adap1_1	-0.0014858834093434252	-0.002735891876790373	-0.008059689723411168																		
Aftph_4	0.0035428604559931045	-0.0011877936228608327	-0.004584763536757112	-0.019063863979001415																	
Agrn_8	0.022080375987783833	0.012083436152686559	0.004296506177608168	0.0037730919773472037	-0.02410826833759768																
Agtpbp1_11	-0.0034774515230387762	-0.007493722749311757	-0.017673734686938815	-0.027985178927883547																	
Aldh3a2_2	-0.006451309305960529	-0.01660178764575661																			
Angel2_1	0.007467381483636074	0.00970586200038913	-0.01463342939105657	-0.03130984262111101																	
Ankfy1_5	3.23656889895602e-05	-0.0014474648703390331	-0.004143775612317695	-0.0023402877585167853																	
Arfip2_nmdSE_1	0.010471385124747773	0.0076311154117965465	0.01223558796901657	0.02532668101241636	0.022257510708872424																
Arhgef40_7	-0.007964090372693071	-0.01660480788654868	-0.0015309037021408777																		
Armc9_4	-0.0024406407532720675	-0.010015309713361554	-0.013475085753899146																		
B4galt3_1	0.0069253849402457915	-0.002986694518799633	-0.012884665876117356	-0.011448109479663847																	
Bclaf1_1	0.018800033917066514	0.0048370874823675455	-0.008116864615844653	-0.005342284802754125																	
Btrc_1	-0.0002216891503597802	-0.005094575958217513	-0.0070025913829422064	0.00484359025736008																	
Cacna1e_2	0.0025997641255716773	0.006072954049520208	-0.00385464118432779																		
Camk2d_1	0.0034522369576299125	0.00051794821228869	0.0010827830026250147	-0.04002931805615482	-0.026305814057293382																
Camta1_5	0.025225626212146184	0.02988445637548536	0.0025613913586245295	0.006045621350520043																	
Ccdc127_2	0.002101461256022596	-0.003059903658787414	-0.016403420620109938	-0.040656085011922																	
Ccdc136_17	0.023439621379573818	0.035643964524990926	0.030533287576795336																		
Chtf8_3	0.01471028824721986	0.01053862830596821	0.0003509775200590806	0.004125598297647661																	
Ciz1_2	-0.0010124232490106196	-0.0037361352094819242	-0.0026853637832481214	-0.020585068475026558																	
Clcn4_nmdSE_1	-0.0010819072368742902	-0.00466511748374694	-0.0067769362723344995	-0.03000319726211656																	
Clip1_11	0.00854763441070994	0.009357525192411868	-0.001503945216164247	-0.013784158612125123	-0.022964076880728965																
Cyb5r4_1	-0.0034142845742481036	-0.005695637981262534	-0.014435243791082299																		
Dcaf11_1	-0.013268916427570986	-0.033566618958236386																			
Dcun1d2_7	0.0021271244705829556	-0.02307771769831371																			
Dhcr7_5	0.009004189173097638	0.008739537044365154	0.011343311779022775	0.012521755313779881	0.011725850680465383	0.017049501558416735															
Dis3l2_7	0.0016294771740745586	-0.0007112739612615952	-0.0008453779853167534																		
Dlg4_3	0.011157754154898886	0.002189518623082711	0.013360120655284377	0.00043437462790639036	0.006011101524575614	0.015752706489749576															
Dnajc17_1	-0.005565644000557547	-0.0032790354661090064	-0.0027366046577389173	-0.013450334344087088																	
Dnajc5_1	-0.005376818651644867	-0.0014369676317348573	-0.010197640379466907	-0.027100383002262807	-0.03370994148532169																
Dram2_1	0.003961407645345602	0.0062242451481267615	0.032805327560343066	0.09504252119766773																	
Ece2_4	0.010002337284684035	-0.0036373678217555463	-0.019730648602522532	-0.037490762457068616																	
Elovl6_2	-0.006976060568385772	-0.009819545069084232	-0.008628097443741847																		
Epb41l4aos_1	-0.00907642619997571	-0.009709493993303295	-0.0224422298670376	-0.029409315534941576																	
Epn2_5	0.019405303810483103	0.015753170559864662	0.004024904547576438																		
Eri3_5	-0.0002412412498199057	-0.004198521240471036	0.006611556768525386	0.02603472021040499	0.03350025145058276	0.06790918384165522															
Exoc6b_6	0.004526345814370155	0.023373946540650236	0.005931552299416293	-0.007363274868750583																	
Fam13b_8	-0.002283400783001861	0.00020744048216514408	0.0050404073167529765	-0.003149566598297544																	
Fam160a2_2	-0.0039903261869119865	-0.01266651987356906	-0.009001587765006775	-0.03649284272243556																	
Fam189b_2	-0.004592745237008411	0.0036014161769623767	-0.006040136381393699																		
Fam189b_3	-0.0046206157425302645	0.004513450881338976	0.018173111280630407																		
Fam49b_1	0.0018205488634327432	0.0031602216833355166	-0.0008832780230583047																		
Fbxl5_7	0.01936773597471469	0.02230384664338684	0.053562063159248545	0.09332298953861884	0.15637258849137148																
Fbxo42_3	0.0006642131901208589	-0.010058397522292761																			
Flcn_1	0.012564868079630535	0.017916432509631132	0.007162477919980295																		
Fnbp4_6	-0.0038363841520426085	-0.001216423182047583																			
Gfra2_1	-0.010528672539345628	-0.015011386206511042	-0.02411941740807195																		
Gfra2_3	0.0132022716316846	0.0059514982716131915	-0.004337840921665604	-0.021708889296546536																	
Gpatch8_3	-0.004980496396706936	-0.009097499739372954	-0.024337526864056054	-0.036938141053653444																	
Gria3_nmdSE_2	0.013231513613740021	0.006927106895932119	0.011301246136803889	0.024767603331942018	0.005757143473666694																
Gtf2i_10	0.0021834802390788477	-0.0003492201869280371	-0.013472527738677	-0.03817370918827439																	
Ints10_3	0.025820342330482283	0.04080550417236154	0.056551529280775385	0.07029157334662728	0.12348507023661878																
Isy1_3	0.003819398118274398	0.006196895809841732	0.005888507514105448	0.007473522129241539																	
Isyna1_3	0.0020419679115539035	0.006279516971770757	0.010268986518603853	-0.021064442455313796																	
Josd2_9	0.0055428649927479244	0.0029999254462885166	-0.007736710600734252																		
Josd2_nmdSE_4	0.0027655787232640627	0.006522246583805322	-0.0011715487969244625																		
Kcna6_1	0.007587494261346459	0.007484944412682977	-0.0043020397768576395	-0.016317302085561893																	
Kctd20_3	0.00901125950726065	0.0077745450387492546	-0.007939153944316777																		
