	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Adap1_1	-0.0065196598944599815	0.0007190600764908912	-0.012693382883324096																		
Aftph_4	0.01863808719175196	0.026488759633693765	0.05924222348746329	0.011025778189142185																	
Agrn_8	0.053948645888420445	0.048478427977028685	0.04237221897365463	0.05100613398586243	0.00011971008668130001																
Agtpbp1_11	0.00025126185365563557	-0.0026305505665002835	-0.017867110738458463	-0.02004073866162902																	
Aldh3a2_2	-0.018766555790999496	-0.007460083876124689																			
Angel2_1	0.03141181542610846	0.046471890556001635	0.011951524995036386	-0.033352742916574446																	
Ankfy1_5	-0.001959011866972504	0.008071821694232538	0.01298107022253402	-0.004712943986403079																	
Arfip2_nmdSE_1	0.0229616677006129	0.020542459444711652	0.027501333751759366	0.05111251515732727	0.04694391072558007																
Arhgef40_7	-0.0166338277281796	-0.027624688767442424	0.00922233873966891																		
Armc9_4	-0.007583915650843296	-0.017502648834122527	-0.010952067477311898																		
B4galt3_1	0.021288608971047084	0.006259463199504011	-0.007801153328910473	-0.02505725045173155																	
Bclaf1_1	0.035404203627655007	0.01589077933147578	0.009432207339796583	0.0007804984031225843																	
Btrc_1	0.0011676613999571156	-0.003362624868461395	-0.001800483700195479	0.013925298934303118																	
Cacna1e_2	0.004372954863958861	0.018217644690758004	-0.002886950131360288																		
Camk2d_1	0.00853189197700984	0.009192417617900813	0.003972835723027381	-0.06325192510454421	-0.0612711414388569																
Camta1_5	0.06525150455473669	0.07821775158768023	0.011134147236101432	0.019463258261959538																	
Ccdc127_2	0.0029444638999441193	-0.003873478026134836	-0.020420036794580147	-0.06509773577176257																	
Ccdc136_17	0.07881584885902419	0.12094936292505468	0.13397934284583934																		
Chtf8_3	0.02998999112741418	0.02568365571989297	-0.006440661824389026	0.0072621387158064																	
Ciz1_2	-0.005047316817467081	-0.0014532257407907012	-0.007937610997100268	-0.034085513971443555																	
Clcn4_nmdSE_1	-3.792934920082141e-05	-0.0030296970897132924	-0.0054071560906045505	-0.07873446132568568																	
Clip1_11	0.024746835992857496	0.03440207280688786	0.007139526928477964	-0.021047430319977214	-0.002782785056225935																
Cyb5r4_1	-0.006332884003649567	0.0007280995533469716	0.005957295330929728																		
Dcaf11_1	-0.030023176842270852	-0.0783414974651145																			
Dcun1d2_7	-0.005616737965690592	-0.057312804203976185																			
Dhcr7_5	0.026384235037717554	0.031743012637398	0.04016289030905764	0.03612640284640814	0.027490228864968973	0.044487269197902454															
Dis3l2_7	0.0035116766717598765	0.013275352084142754	0.02670952479614344																		
Dlg4_3	0.02575733367752238	0.015106095414575539	0.06064504169182881	0.03487004682141722	0.03209735990261862	0.06593832877415819															
Dnajc17_1	-0.012462260875788944	-0.007903782545815948	0.004557225145681675	-0.01933887714379699																	
Dnajc5_1	-0.00982072500471578	-0.007832199125777602	-0.0187452459413896	-0.0436883418079318	-0.06117891310806423																
Dram2_1	0.032933734258117235	0.054772009353833195	0.13198946231186937	0.2803471063495422																	
Ece2_4	0.030324358237774626	0.00207807924909895	-0.024680803787912167	-0.04847694505309992																	
Elovl6_2	-0.014967299641881577	-0.003431463873481362	0.0013630620831877618																		
Epb41l4aos_1	-0.023600963275429068	-0.011873954263732733	-0.03948532825853883	-0.05472055905642111																	
Epn2_5	0.026063049257772357	0.03683672422205297	0.019571333443103325																		
Eri3_5	0.005469303241353768	0.0030201622314006992	0.024537818051091318	0.05845402418884557	0.07738335193261933	0.1273064807163667															
Exoc6b_6	0.014233519388363352	0.05906567743278627	0.03347956692242655	-0.0035948179798130494																	
Fam13b_8	-0.0163476920004828	-0.000280712560423	0.0031729602076537786	-0.019375266974747517																	
Fam160a2_2	-0.010768146290313925	-0.018395858777074576	-0.010895566169146994	-0.07266856874272047																	
Fam189b_2	-0.015574491827176693	0.01988735533348614	0.02413347478137374																		
Fam189b_3	-0.014069371056815088	0.01039316403656972	0.050406164552299494																		
Fam49b_1	-0.0022512809354796716	0.014527274156025475	-0.007945304130504227																		
Fbxl5_7	0.06974239295904502	0.08423105204686437	0.16001494249693118	0.26520397830244374	0.400841403802366																
Fbxo42_3	-0.006746406569517175	-0.01789903836013305																			
Flcn_1	0.035253827027714395	0.04348065925569415	0.03902391056305769																		
Fnbp4_6	-0.015613464492295044	0.01413927445852535																			
Gfra2_1	-0.02131598780105848	-0.024779271370101344	-0.016889529990757664																		
Gfra2_3	0.017596668607207565	0.01741101114303437	0.0005175821269855461	-0.029803604518145566																	
Gpatch8_3	-0.010364425574629056	-0.012020723754685025	-0.038339820593787016	-0.0562833569559188																	
Gria3_nmdSE_2	0.03667866864848173	0.03256492661948605	0.05514583447855497	0.09434214285289756	0.05765733869841035																
Gtf2i_10	0.007177378218269676	0.007760545641677326	-0.0208167185589836	-0.04591338577963023																	
Ints10_3	0.0903309862781628	0.13256416357487252	0.17229757518337332	0.20127714116423004	0.31270841782181324																
Isy1_3	0.006167345856741986	0.02606669897070827	0.028901529636206614	0.04268616814722391																	
Isyna1_3	0.018759228138437417	0.032804428025333	0.055607441833386714	0.023159145800039138																	
Josd2_9	0.010230377102985048	0.027592709062737322	0.028302707859198313																		
Josd2_nmdSE_4	0.008074947681945551	0.025411711403748823	0.048384633728292326																		
Kcna6_1	0.01885327110866406	0.013848620850698724	-0.0054853095750666886	-0.015279372348497952																	
Kctd20_3	0.00958706519768764	0.0031835193827898355	-0.005522596112398286																		
Klhl26_2	-0.010049267943213895	-0.03722244328214439	-0.03893722845136732																		
Lmbr1_11	-0.02785452410471194	-0.13607510011997903																			
