	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Adap1_1	-0.0027042487142399587	-0.006076360435856065	-0.011334317910807567																		
Aftph_4	-0.0019733809827758198	-0.006901427766657317	-0.011747356840118102	-0.02889510611177576																	
Agrn_8	0.01223602366079353	0.0017426286251507976	-0.006910695398876733	-0.016133754044124773	-0.041013536234119824																
Agtpbp1_11	-0.006162393268045154	-0.011276815536889492	-0.022943433854693596	-0.03524069503717295																	
Aldh3a2_2	-0.010004666790571996	-0.017164140814143615																			
Angel2_1	0.0019334354293354596	0.0024168266212418418	-0.01962737922304842	-0.03935640272625319																	
Ankfy1_5	-0.004632824383194342	-0.009562149503979845	-0.005482415445787855	-0.0028055440099505288																	
Arfip2_nmdSE_1	0.007541731841437805	0.006510705330008311	0.012821731113765436	0.024151553171644708	0.01993061631652712																
Arhgef40_7	-0.010135336543218314	-0.020075640607018143	-0.006020711464189017																		
Armc9_4	-0.005034834702113826	-0.010745465876195246	-0.013498676510279169																		
B4galt3_1	0.003600157003318883	-0.005904024323287326	-0.013380014770265396	-0.008378802505837462																	
Bclaf1_1	0.013686106657483887	0.00041234834864908724	-0.011112645364114718	-0.014027284484494869																	
Btrc_1	-0.0021275920419138758	-0.007501025315527145	-0.010183559110928699	0.002413534731118768																	
Cacna1e_2	0.001014296954581442	0.003036536238878136	-0.006324910448606784																		
Camk2d_1	0.0008095560559150687	-0.0015946523792890002	-0.0023705307143584106	-0.05132832052763603	-0.03720857733755859																
Camta1_5	0.017943554030412	0.02095548560844898	0.0012339883300029645	0.0029391277962008493																	
Ccdc127_2	0.0006702852653279987	-0.005538348313236155	-0.022013003225708653	-0.04504873139761537																	
Ccdc136_17	0.015761110111486797	0.027814435238197807	0.019156488665609605																		
Chtf8_3	0.007354405947508888	0.00433386893923009	-0.00408491148774648	0.00023803343862797402																	
Ciz1_2	-0.0030194436841132336	-0.005470233547642152	-0.0036375219305356987	-0.0204977700582139																	
Clcn4_nmdSE_1	-0.0023257557983056448	-0.005249780988824097	-0.005596850669504003	-0.03721033528243455																	
Clip1_11	0.005231083138602798	0.004920502002043818	-0.004900289741427268	-0.01795760149762138	-0.0338103150418487																
Cyb5r4_1	-0.005794816473802068	-0.00625056288965715	-0.026719338101330918																		
Dcaf11_1	-0.016004776900166585	-0.033039331474417996																			
Dcun1d2_7	-0.0030020515563975994	-0.02343728898312095																			
Dhcr7_5	0.0048116205115665694	0.0045696712054822545	0.006753479327958978	0.006717744533216749	0.006034729710837693	0.015940727175336577															
Dis3l2_7	-3.7690952898057715e-05	-0.0027860244883868056	-0.007405940409269962																		
Dlg4_3	0.005901844800127378	-0.0019102963417131935	0.0075773074328402456	-0.004095836455085254	0.0009352533925801234	0.0023073007339082766															
Dnajc17_1	-0.0090178298011835	-0.007431150062256571	-0.006783332986354453	-0.019982955633462855																	
Dnajc5_1	-0.00495643842736511	-0.003740622378688235	-0.010725028335941899	-0.02726138800155088	-0.03553819868847189																
Dram2_1	-0.0010856899298138704	-0.0004887979472446485	0.02077844326736965	0.08511240764930982																	
Ece2_4	0.0058958859873024716	-0.00553708546115304	-0.021811798627178535	-0.04162260211737349																	
Elovl6_2	-0.008523640069621035	-0.012464694468789528	-0.011664762181187917																		
Epb41l4aos_1	-0.013490287497812031	-0.01233899445903234	-0.025354956087771486	-0.032160893373869																	
Epn2_5	0.013248880610140897	0.011207109796488287	-0.0008095874555438508																		
Eri3_5	-0.001238592710806049	-0.005533574143249746	0.002603476273565715	0.020028508327818342	0.026481150202685697	0.05628635160904664															
Exoc6b_6	0.0006251177604562191	0.017401822535895613	-0.0024240356424040385	-0.012544384731724515																	
Fam13b_8	-0.006331601974125795	-0.0006804492995901422	0.0014488015439188897	-0.0044745056272858606																	
Fam160a2_2	-0.0076314721687851805	-0.016610014220192024	-0.008268397640871908	-0.03830012136585654																	
Fam189b_2	-0.00649577621842816	0.0017064072047927514	-0.0080186255174686																		
Fam189b_3	-0.006680223811359716	-0.0006632319993684947	0.015307237809502184																		
Fam49b_1	-0.002048509170538422	0.004514657888478385	-0.003561575960552212																		
Fbxl5_7	0.015072388635132614	0.016413662136300574	0.040962590457378385	0.07829968649388086	0.14655789469910935																
Fbxo42_3	-0.0002612258522313324	-0.019969333110776206																			
Flcn_1	0.0072084750891111896	0.012418144268847093	0.005225696863671492																		
Fnbp4_6	-0.007496987929158929	0.00019206438878305822																			
Gfra2_1	-0.009940682512006693	-0.01815123344582725	-0.027781850227266324																		
Gfra2_3	0.007773887007222029	0.005214830943720769	-0.0032780713037734717	-0.02135855553881174																	
Gpatch8_3	-0.006834517305699189	-0.010427448542204669	-0.024973684857683098	-0.039111546170803695																	
Gria3_nmdSE_2	0.007617942022513623	0.0019588733094742356	0.003906318350267664	0.014352907912057903	-0.008660551738053926																
Gtf2i_10	0.0005265736737616028	-0.0037772617358968453	-0.017569012541332512	-0.043977737244370534																	
Ints10_3	0.01812594118352146	0.03143276364790873	0.04635055537503175	0.06188055405646982	0.11540123301058544																
Isy1_3	0.0007702546302481043	0.0029738964672340815	0.001122035611847415	-0.00553242132574167																	
Isyna1_3	-0.00030991124785476667	0.0008086651728029576	0.0029411068070529455	-0.03426113336668499																	
Josd2_9	0.0006724480069013405	0.0014654409276268448	-0.015785035947335564																		
Josd2_nmdSE_4	0.0009093364665583379	0.0012906370741876739	-0.009959757383819576																		
Kcna6_1	0.006074495232853295	0.005216399334815799	-0.007171506115902738	-0.021295962049891894																	
